AP,delta_50,delta_60,delta_70,delta_80,delta_90,delta_95
27,0.23500000000000654,0.22800000000000153,0.23900000000000077,0.026000000000003354,-0.22799999999999798,-1.3889999999999922
28,0.07000000000000384,0.39000000000000057,0.3850000000000051,0.21799999999999997,-0.24500000000000455,-2.1940000000000133
29,-0.054999999999999716,0.003999999999997783,0.31299999999999883,0.2779999999999987,-1.3070000000000022,-3.333000000000002
30,-0.030000000000001137,-0.08600000000000207,0.13100000000000023,0.5039999999999978,0.8350000000000009,1.1205000000000034
31,0.05500000000000327,0.19200000000000017,0.06800000000000139,0.24600000000001288,0.27799999999999514,-2.062000000000012
32,-0.2699999999999996,0.055999999999997385,0.2289999999999992,0.600000000000005,0.39300000000000423,-1.3879999999999981
33,0.2799999999999905,0.17400000000000304,0.28500000000000014,-0.05600000000000804,-0.30500000000000327,-1.9315000000000069
34,-0.259999999999998,-0.3180000000000014,0.0019999999999988916,0.34999999999999787,-0.3099999999999916,-3.759499999999978
35,0.14499999999999957,0.17599999999999483,0.26400000000000645,0.21800000000000708,0.14100000000000534,-0.21249999999999858
36,0.1699999999999946,0.07400000000000517,0.2560000000000002,0.4399999999999977,0.6749999999999972,-7.3834999999999695
37,-0.33999999999999986,-0.21000000000000796,-0.16499999999999915,0.1960000000000086,-0.8379999999999939,-3.5810000000000066
38,0.03500000000000725,0.142000000000003,0.3380000000000045,0.740000000000002,0.8389999999999986,0.33900000000000574
39,0.1700000000000017,-0.03599999999999781,0.26700000000000657,0.360000000000003,0.5799999999999983,-0.03400000000000247
40,-0.07999999999999474,0.1039999999999992,0.09600000000000364,0.33400000000000674,0.1670000000000016,0.5355000000000025
41,0.6450000000000031,0.3160000000000096,0.5470000000000041,0.6259999999999941,0.972999999999999,0.18500000000000583
42,-0.2049999999999983,0.060000000000002274,0.21100000000000207,0.21999999999999886,-0.8110000000000035,-2.5215000000000067
43,-0.005000000000002558,0.23200000000000287,0.35300000000000153,0.00999999999999801,0.5480000000000089,0.861500000000003
44,0.1999999999999993,0.5960000000000001,0.34399999999999764,0.22000000000000597,-0.2630000000000017,-0.8185000000000038
45,0.3300000000000054,0.49199999999999733,0.4510000000000005,0.47599999999999554,0.7420000000000044,0.8690000000000104
46,0.1700000000000017,0.0519999999999996,0.17500000000001137,0.44399999999999906,0.42799999999999727,0.48750000000000426
47,0.14999999999999858,0.18999999999999773,0.4220000000000006,0.3399999999999963,0.3279999999999994,0.3389999999999951
48,0.2550000000000061,0.2519999999999989,0.28200000000000713,0.17799999999999727,-0.022000000000002018,-0.21099999999999497
49,0.3100000000000058,0.6479999999999961,0.6780000000000008,0.3359999999999985,0.556999999999995,0.7675000000000018
50,0.10999999999999943,0.19200000000000372,0.5119999999999969,0.5880000000000081,0.7950000000000017,0.9729999999999954
51,0.1599999999999966,0.13400000000000034,0.0849999999999973,0.36599999999999966,0.8430000000000035,0.2745000000000033
52,0.03499999999999659,0.09199999999999875,-0.05000000000000071,-0.04199999999999804,0.040000000000009805,1.1389999999999993
53,0.41999999999999815,0.5560000000000009,0.44199999999999307,0.4280000000000044,0.38700000000000045,0.5995000000000061
54,0.355000000000004,0.2260000000000062,0.5289999999999928,0.7519999999999989,0.816000000000006,-0.2579999999999991
55,-0.26499999999999346,0.11200000000000188,0.1059999999999981,0.47800000000000153,0.30600000000000094,-0.5330000000000013
56,-0.27000000000001023,-0.17600000000000193,0.35400000000000276,0.49799999999999045,-0.00999999999999801,-0.9519999999999946
57,-0.3400000000000034,-0.08000000000000185,0.2220000000000013,0.43599999999999994,0.2759999999999927,0.007000000000005002
58,0.05499999999999616,0.1560000000000059,0.37199999999999633,0.6040000000000028,0.6400000000000006,0.645500000000002
59,-0.46999999999999886,-0.2100000000000044,-0.030999999999998806,0.20600000000000662,0.63900000000001,1.6639999999999908
60,-0.274999999999995,-0.15000000000000568,0.2099999999999973,0.16800000000000637,0.1280000000000001,0.6360000000000028
61,-0.259999999999998,-0.06800000000000139,-0.04600000000000648,0.028000000000005798,0.36299999999999955,0.497999999999994
62,-0.25500000000000256,-0.25400000000000134,-0.0020000000000024443,0.31199999999999406,-0.15099999999999625,-0.45049999999999457
63,-0.37499999999999645,-0.19999999999999574,-0.10900000000000887,-0.18000000000000327,-0.32099999999999795,-1.2424999999999997
64,-0.4849999999999959,-0.45600000000000307,-0.49100000000000676,-0.19400000000000261,-0.020999999999997243,0.15000000000000924
