AP,delta_50,delta_60,delta_70,delta_80,delta_90,delta_95
52,0.04999999999999005,0.09600000000000009,0.23199999999999932,0.08799999999999031,0.8620000000000019,1.5365000000000109
53,0.3800000000000061,0.31200000000000117,0.2759999999999998,0.3619999999999983,0.7839999999999989,1.5695000000000014
54,0.3050000000000068,0.26400000000000645,0.49199999999999733,0.708000000000002,0.7010000000000076,0.979499999999998
55,-0.01999999999999602,0.1300000000000061,0.1889999999999965,0.3619999999999983,0.45100000000001117,0.6819999999999986
56,0.12999999999999545,0.24799999999999756,0.6990000000000052,0.8979999999999961,0.9300000000000033,0.8490000000000109
57,-0.11999999999999744,0.259999999999998,0.5920000000000023,0.8320000000000043,0.4869999999999983,0.5344999999999906
58,-0.11500000000000554,-0.07399999999999807,0.14800000000000324,0.35200000000000387,0.4760000000000062,1.209500000000002
59,-0.05999999999999517,0.18199999999999505,0.3049999999999997,0.7680000000000042,1.3960000000000115,2.428499999999989
60,0.004999999999999005,0.0899999999999963,0.5180000000000007,0.39400000000000546,0.657999999999987,-0.6294999999999824
61,0.00999999999999801,0.19800000000000395,0.3819999999999979,0.40600000000000946,0.6610000000000049,0.7845000000000013
62,0.09999999999999787,0.1599999999999966,0.2920000000000016,0.5859999999999914,0.6230000000000082,0.3125
63,-0.07499999999998863,-0.01999999999999602,-0.014000000000002899,0.269999999999996,0.11700000000000799,-0.10800000000000054
64,-0.010000000000001563,0.06800000000000139,0.14399999999999835,0.11400000000000077,0.35299999999999443,0.4760000000000062
65,0.3149999999999942,0.25800000000000267,0.3440000000000012,0.44999999999999574,0.4590000000000032,0.8329999999999984
66,0.120000000000001,0.10399999999999565,0.4499999999999922,0.4539999999999935,0.36199999999999477,0.37199999999999633
67,-0.03999999999999915,0.21199999999999974,0.2339999999999982,0.24399999999999977,0.21699999999999875,-0.17100000000000648
68,0.005000000000002558,0.16400000000000148,0.05600000000000094,0.36800000000000566,0.3309999999999995,0.5734999999999957
69,-0.2150000000000034,-0.10800000000000409,0.0259999999999998,-0.0020000000000024443,-0.15800000000000836,-0.6149999999999949
70,-0.08999999999999275,-0.04400000000000048,0.11200000000000188,0.08000000000000185,0.07599999999999696,-0.7344999999999935
71,-0.11500000000000199,0.14199999999999235,0.12200000000000344,0.16600000000000037,0.18900000000000716,0.02899999999999281
72,0.10999999999999588,0.35200000000000387,0.5259999999999998,0.5959999999999965,0.8979999999999926,0.44949999999999335
