AP,mean,percentile_95,percentile_5,extra_time
56,1.0548137535816626,1.19,0.94,0.13518624641833732
57,1.0409537572254342,1.15,0.93,0.10904624277456576
58,1.0567919075144514,1.19,0.9325,0.13320809248554855
59,1.0557647058823534,1.19,0.9394999999999999,0.13423529411764656
60,1.0537391304347827,1.17,0.93,0.1162608695652172
61,1.0623837209302331,1.17,0.96,0.10761627906976678
62,1.0503757225433532,1.13,0.9325,0.07962427745664669
63,1.0456976744186048,1.17,0.93,0.12430232558139509
64,1.0428571428571436,1.17,0.9300000000000002,0.12714285714285634
65,1.0551296829971188,1.19,0.94,0.1348703170028811
66,1.0362356321839086,1.17,0.9235000000000001,0.13376436781609136
67,1.0381502890173424,1.165,0.93,0.12684971098265763
68,1.0332285714285727,1.17,0.9300000000000002,0.1367714285714272
69,1.0401162790697682,1.1869999999999994,0.93,0.14688372093023117
70,1.0346086956521745,1.15,0.94,0.11539130434782541
71,1.100773638968482,1.19,0.94,0.08922636103151804
72,1.0408620689655168,1.17,0.9200000000000002,0.12913793103448312
73,1.0667977528089885,1.17,0.9,0.10320224719101145
74,1.056875,1.1789999999999998,0.9300000000000002,0.12212499999999982
75,1.0466954022988515,1.1829999999999994,0.93,0.1363045977011479
76,1.0568390804597705,1.22,0.9235000000000001,0.1631609195402295
77,1.0562108262108254,1.22,0.93,0.16378917378917457
78,1.0476770538243632,1.17,0.9300000000000002,0.12232294617563677
79,1.0553932584269663,1.19,0.93,0.13460674157303365
80,1.0767042253521133,1.27,0.92,0.19329577464788672
81,1.067223796033995,1.2519999999999993,0.9200000000000002,0.18477620396600436
82,1.0897759103641458,1.27,0.9,0.18022408963585423
83,1.0663407821229054,1.29,0.9000000000000001,0.22365921787709464
84,1.0824786324786342,1.22,0.92,0.1375213675213658
85,1.0719382022471917,1.225,0.92,0.15306179775280837
86,1.073481894150419,1.2749999999999984,0.9300000000000002,0.2015181058495794
87,1.1137325905292477,1.38,0.92,0.2662674094707522
88,1.098960674157304,1.38,0.92,0.281039325842696
89,1.0991549295774652,1.38,0.92,0.2808450704225347
90,1.1406703910614526,1.6600000000000001,0.92,0.5193296089385475
91,1.1191549295774648,1.4490000000000003,0.92,0.3298450704225355
92,1.1249860724233989,1.5439999999999987,0.9,0.41901392757659983
93,1.1627605633802818,1.71,0.93,0.5472394366197182
94,1.1783050847457632,1.62,0.92,0.4416949152542369
95,1.1521508379888268,1.6824999999999966,0.9299999999999999,0.5303491620111698
96,1.115193370165746,1.41,0.9,0.294806629834254
97,1.1682692307692313,1.44,0.9199999999999999,0.27173076923076867
98,1.1152676056338031,1.4610000000000007,0.8999999999999999,0.3457323943661976
99,1.0819060773480669,1.38,0.9,0.298093922651933
100,1.1210497237569068,1.38,0.9010000000000001,0.2589502762430931
101,1.1045125348189413,1.442999999999999,0.9,0.33848746518105766
